image_name,fen,view
frame_000044.jpg,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,white_bottom
frame_000528.jpg,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR,white_bottom
frame_000548.jpg,rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR,white_bottom
frame_000584.jpg,rnbqkb1r/pppppppp/5n2/6B1/3P4/8/PPP1PPPP/RN1QKBNR,white_bottom
frame_000664.jpg,rnbqkb1r/pp1ppppp/5n2/2p3B1/3P4/8/PPP1PPPP/RN1QKBNR,white_bottom
frame_000724.jpg,rnbqkb1r/pp1ppppp/5B2/2p5/3P4/8/PPP1PPPP/RN1QKBNR,white_bottom
frame_000752.jpg,rnbqkb1r/pp1p1ppp/5p2/2p5/3P4/8/PPP1PPPP/RN1QKBNR,white_bottom
frame_001240.jpg,rnbqkb1r/pp1p1ppp/5p2/2pP4/8/8/PPP1PPPP/RN1QKBNR,white_bottom
frame_001332.jpg,rnbqkb1r/pp1p1p1p/5pp1/2pP4/8/8/PPP1PPPP/RN1QKBNR,white_bottom
frame_001372.jpg,rnbqkb1r/pp1p1p1p/5pp1/2pP4/2P5/8/PP2PPPP/RN1QKBNR,white_bottom
frame_001412.jpg,rnbqk2r/pp1p1pbp/5pp1/2pP4/2P5/8/PP2PPPP/RN1QKBNR,white_bottom
frame_001444.jpg,rnbqk2r/pp1p1pbp/5pp1/2pP4/2P5/2N5/PP2PPPP/R2QKBNR,white_bottom
frame_001656.jpg,rnbq1rk1/pp1p1pbp/5pp1/2pP4/2P5/2N5/PP2PPPP/R2QKBNR,white_bottom
frame_001840.jpg,rnbq1rk1/pp1p1pbp/5pp1/2pP4/2P5/2N1P3/PP3PPP/R2QKBNR,white_bottom
frame_001908.jpg,rnbq1rk1/pp1p1pbp/6p1/2pP1p2/2P5/2N1P3/PP3PPP/R2QKBNR,white_bottom
frame_002360.jpg,rnbq1rk1/pp1p1pbp/6p1/2pP1p2/2P5/2N1P1P1/PP3P1P/R2QKBNR,white_bottom
frame_002472.jpg,rnbq1rk1/pp3pbp/3p2p1/2pP1p2/2P5/2N1P1P1/PP3P1P/R2QKBNR,white_bottom
frame_002516.jpg,rnbq1rk1/pp3pbp/3p2p1/2pP1p2/2P5/2N1P1P1/PP3PBP/R2QK1NR,white_bottom
